ID,اسم المشروع,المجال,الوصف,الفئة المستهدفة
628,تحليلات النشر,الثقافة والإعلام,تفتقر دور النشر العربية لأدوات تقيس الاهتمامات الحقيقية ومعدلات القراءة لدى فئة الشباب لتوجيه ترجمة وتأليف الكتب بدقة. تطبيق يحلل أنماط القراءة وتظليل النصوص داخل الكتب الرقمية لتوليد تقارير ناشرين ذكية.,دور النشر والمؤلفون والمنصات الثقافية
629,راصد الأنابيب,الطاقة والخدمات الصناعية,تعاني شبكات نقل الغاز من صعوبة رصد التسريبات المتناهية الصغر في الصمامات الميدانية الشاسعة قبل تصاعد خطورتها. يستخدم المشروع كاميرات تصوير غازي (OGI) مدمجة بخوارزميات ذكاء اصطناعي لرصد سحب الغاز غير المرئية.,شركات الغاز والنفط والمجمعات الصناعية
630,ميزان الشاحنات,النقل واللوجستيات,تتسبب الشاحنات ذات الحمولات الزائدة عن الحد النظامي في تلف إسفلت الطرق السريعة وصعوبة رصدها بدون التوقف بمحطات الوزن. نظام مسح ذكي يدمج حساسات الوزن أثناء الحركة (WIM) أسفل إسفلت بوابات المدن للرصد الآلي.,وزارة النقل وأمن الطرق
631,تأهيل مرن,الصحة الرقمية,يتكاسل مرضى الشلل الرعاش (Parkinson's) عن أداء التمارين الحركية المنزلية لضعف المتابعة الطبية اليومية. تطبيق ألعاب تفاعلي يربط بحساسات قابلة للارتداء لتقييم دقة واستمرارية الحركات وإرسال تقارير للطبيب.,مرضى الشلل الرعاش وأطباء الأعصاب
632,سوق النفع,الأمن الغذائي والزراعة,يواجه مربو المواشي صعوبة في تسويق منتجات اللحوم الطازجة مباشرة للمستهلكين لضعف سلاسل الإمداد اللوجستية المبردة الموثوقة. منصة تربط المزارع بالمستهلكين مع توفير أساطيل توصيل مبردة ومتبعة رقمياً.,مربو المواشي والمستهلكون والمطاعم
633,بوابة المخلص,الجمارك واللوجستيات,تقع أخطاء وتأخيرات في التخليص الجمركي للبضائع المستوردة بسبب الصعوبة اليدوية في تصنيف وترجمة البنود الجمركية المعقدة. منصة تعتمد على معالجة اللغات الطبيعية لتصنيف البنود وتحديد الرسوم بدقة.,المخلصون الجمركيون وشركات الاستيراد
634,رادار الهدر,كفاءة الفنادق والضيافة,تعاني بوفيهات الفنادق الكبرى من هدر كميات ضخمة من الأطعمة لغياب البيانات الدقيقة حول الأصناف الأكثر والاقل استهلاكاً. نظام موازين ذكية متصلة بالبوفيه تحلل الفقد وتصدر تقارير دورية للطهاة لضبط الكميات.,إدارة الفنادق والمطاعم الكبرى
635,تحليلات الالتزام,التقنية الطبية ورعاية المرضى,يواجه مرضى الأمراض المزمنة (كالضغط والقلب) خطورة إهمال تناول جرعات الأدوية في مواعيدها المحددة لغياب المتابعة. علبة أدوية ذكية مدمجة بحساسات ترسل تذكيراً للمريض وتنبيهاً لهاتف العائلة في حال النسيان.,"مرضى الأمراض المزمنة، كبار السن، والعوائل"
636,إسناد الإعلام,التسويق الرقمي والإعلام,تستغرق صياغة الحملات الإعلانية ومراجعتها وقتاً طويلاً للتأكد من موافقتها للأنظمة الرقابية والذوق الثقافي المحلي بالسعودية. أداة ذكاء اصطناعي توليدي مدربة على التشريعات الإعلامية لصياغة المحتوى بأمان.,"وكالات الإعلانات، المسوقون، وصناع المحتوى"
637,راصد التشققات,البنية التحتية للمدن,تواجه الأمانات صعوبة في رصد وتصنيف حفر الشوارع وتتشققات الإسفلت جغرافياً بسرعة لمواكبة أعمال الصيانة الدورية. نظام يركب على سيارات الأمانة يمسح الطرق برؤية الحاسوب لتحديد الحفر وتصنيف خطورتها تلقائياً.,"الأمانات، البلديات، وشركات صيانة الطرق"
638,تأهيل الحركة,الرعاية التأهيلية والطبية,يتكاسل مرضى الجلطات عن أداء تمارين العلاج الطبيعي المنزلي لغياب التوجيه والدقة التفاعلية المقاسة بدون الطبيب. تطبيق ألعاب تفاعلي يستخدم كاميرا الجوال لمتابعة زوايا الحركة وتقديم نقاط تقييم فوري للتمارين.,مرضى إعادة التأهيل وأطباء العلاج الطبيعي
639,بوابة العقود,تقنيات الشركات والحوكمة,تقع نزاعات بين الشركات والموردين حول تعديل بنود عقود التوريد أو تواريخ التسليم يدوياً مما يخل بالالتزامات. نظام يعتمد على البلوكشين لتوقيع وتوثيق عقود التوريد لضمان الشفافية والسرية ومنع التلاعب بالصيغ.,"الشركات الكبرى، الموردون، والمستشارون"
640,محاكاة الفضاء,التعليم والتطوير العلمي,يفتقر الطلاب الشغوفون ببيئات تدريبية عملية تحاكي تشغيل مركبات ومحطات الفضاء لتأهيلهم للقطاع تماشياً مع الحراك الوطني. بيئة افتراضية (VR) تحاكي العمل في مختبرات الفضاء وإجراء الأبحاث العلمية.,"الطلاب، الباحثون، والمهتمون بقطاع الفضاء"
641,فرز الخردة,تدوير النفايات والصناعة,تواجه مصانع إعادة تدوير المعادن بطءاً وهدراً بشرياً في فرز النحاس والألمنيوم والحديد يدوياً من تجمعات السكراب الكبيرة. نظام يعتمد على التعرف البصري وحساسات الحث المغناطيسي لفرز المعادن آلياً بسرعة عالية.,مصانع إعادة التدوير وتجار الخردة والمعادن
642,ملابس السلامة,الأمن الصناعي والمهني,يتعرض عمال البناء في المواقع الشاسعة لخطر الإغماء أو السقوط من مرتفعات دون علم مشرف الموقع فوراً لإنقاذه. سترة ميدانية مزودة بحساسات حرارة ورطوبة وتنبيه بالسقوط تبث استغاثة فورية لغرفة العمليات.,شركات المقاولات والمنشآت الصناعية الكبرى
643,طوافي الذكي,تقنيات الحج والعمرة,يواجه الحجاج صعوبة في التزام مواعيد مسارات التفويج المحددة لحملاتهم بالمشاعر المقدسة لعدم توفر تنبيهات ذكية لحظية. سوار ذكي يعتمد على البلوتوث يوجه الحاج ويرسل تنبيهات الجدول الزمني للحملة آلياً.,"الحجاج، شركات الطوافة، ووزارة الحج"
644,مسار الملاحة,النقل واللوجستيات الخطرة,تشكل شاحنات نقل المواد الخطرة (كالوقود والغاز) خطورة عند مرورها بالطرق المزدحمة أو الأنفاق غير المهيأة. محرك خرائط ذكي مخصص يحسب مسارات آمنة تتجنب الكثافة السكانية والأنفاق للشاحنات الخطرة.,"شركات النفط والغاز، المرور، واللوجستيات"
645,منصة بصير,التعليم الشامل والدمج,يواجه الطلاب المكفوفون حجزاً تعليمياً عند محاولة فهم الرسوم البيانية والجداول الإحصائية المعقدة المتواجدة في الكتب المدرسية. تطبيق يحول الرسوم إلى ملفات هندسية قابلة للطباعة ثلاثية الأبعاد كمجسمات بارزة.,الطلاب المكفوفون والمؤسسات التعليمية
646,فاحص الوقود,المركبات والنقل المستدام,تواجه شركات النقل خطورة تعرض محركات أساطيلها للتلف نتيجة تعبئة وقود مخلوط بالماء أو الشوائب في محطات غير ملتزمة. جهاز صغير يركب بالخزان يراقب نقاء البنزين ويحذر السائق لحظياً قبل وصوله للمحرك.,"أصحاب السيارات، شركات النقل، ومحطات الوقود"
647,مرشد الطهاة,قطاع الضيافة,تواجه الفنادق والمطاعم الكبرى هدراً في المكونات الغذائية بسبب عدم دقة تعديل مقادير الوصفات يدوياً عند تغير عدد الضيوف فجأة. يقدم المشروع نظام مطبخ ذكياً يضبط المقادير ويرتبط بالمخزون والمشتريات آلياً.,"الفنادق، قاعات الفعاليات، والطهاة المحترفون"
648,بصمة العقار,التقنية العقارية,تقع عمليات احتيال عبر تزوير مستندات ملكية العقارات أو تحديث صكوك قديمة بدون علم الملاك الفعليين. يوفر النظام منصة لتوثيق الهوية الرقمية للعقار وسجل الملكية التاريخي بالكامل عبر تقنية البلوكشين.,"كتابات العدل، الوسطاء العقاريون، والملاك"
649,راصد المخلفات,الصحة البيئية,تواجه المستشفيات والمراكز الطبية تعقيدات في تتبع وضمان التخلص الآمن من النفايات الطبية الخطرة وفقاً للاشتراطات البيئية. يوفر النظام تتبعاً للحاويات الطبية عبر الباركود الذكي ومستشعرات الوزن والحرارة.,المستشفيات وشركات التخلص من النفايات الطبية
650,تذاكر الهوية,الترفيه والفعاليات,يعاني منظمو الفعاليات الرياضية الكبرى من تزوير التذاكر المطبوعة أو بيعها بأسعار فلكية في السوق السوداء. يعتمد المشروع على تذاكر رقمية مشفرة كأصول رقمية (NFT) ترتبط بالهوية الوطنية للمشتري ولا تقبل النقل إلا بضوابط المنظم.,منظمو الفعاليات الرياضية والجمهور
651,بصمة الدفاع,التقنية الرياضية,يواجه مدربو رياضات الدفاع عن النفس صعوبة في تقييم زوايا وسرعة ضربات اللاعبين بدقة يدوية أثناء القتال الحر. يقدم المشروع ملابس مزودة بحساسات حركة دقيقة (IMU) تحلل الأداء حركياً بالذكاء الاصطناعي وتحدد نقاط الضعف.,الأندية الرياضية وممارسو الفنون القتالية
652,منصة استئناف,التقنية القانونية,يستغرق المحامون وقتاً طويلاً في صياغة لوائح الاعتراض والالتماس القضائي ومراجعة السوابق القانونية المتطابقة مع القضية الحالية. يوفر النظام مساعداً ذكياً يحلل صك الحكم ويقترح الأسانيد والثغرات القانونية للاعتراض وفق الأنظمة المحدثة.,المحامون والمكاتب الاستشارية القانونية
653,راصد الليثيوم,تدوير النفايات والاستدامة,تواجه الجهات البيئية خطورة التخلص العشوائي من بطاريات الليثيوم التالفة (للهواتف والسيارات) مما يسبب حرائق وتلوثاً كيميائياً. منصة لوجستية تنظم جمع البطاريات وتتبع تدويرها آلياً واستخلاص المعادن النادرة بأمان.,"شركات التقنية، ورش السيارات، والجهات البيئية"
654,منقذ الصرع,الصحة الرقمية,"يعاني مرضى الصرع من خطورة التعرض لنوبات مفاجئة دون تحذير مسبق يتيح لهم أو لعوائلهم اتخاذ تدابير السلامة. نظام يحلل أنماط النوم، ضربات القلب، وتذبذب كهرباء الدماغ عبر ساعات ذكية للتنبؤ بالنوبة قبل حدوثها بدقائق.",مرضى الصرع ومقدمو الرعاية الصحية والعوائل
655,إعاشة ميسرة,تقنيات الحج والعمرة,تواجه شركات الطوافة تعقيدات في إدارة وتوزيع وجبات التموين الغذائي اليومي بمشعر منى لشدة الازدحام وصعوبة الرصد اللحظي للاستهلاك. يقدم المشروع حاويات ذكية متصلة بالشبكة ترصد السعة وتأتمت طلبات الإمداد لتقليل الهدر.,"شركات الطوافة، وزارة الحج، وشركات التموين"
656,كود الويب 3,الأمن السيبراني,تتعرض عقود البلوكشين الذكية (Web3) في المنصات الناشئة للاختراق لسرقة الأصول الرقمية لغياب أدوات فحص الثغرات قبل النشر. يوفر المشروع نظام فحص آلياً للأكواد يبرز الثغرات الأمنية المخفية ويقترح حلولاً برمجية لتصحيحها.,مطورو البلوكشين والشركات التقنية الناشئة
657,حصاد الريف,سلاسل الإمداد والزراعة,يعاني صغار المزارعين في المناطق الريفية من ارتفاع تكاليف استئجار شاحنات مبردة مخصصة لنقل كميات محاصيلهم الصغيرة للأسواق الكبرى. منصة تشارك لوجستي تجمع المزارعين في شحنات مبردة موحدة لتقليل التكلفة الهدر.,صغار المزارعين وشركات النقل اللوجستي
658,نقاء الأنفاق,المدن الذكية والبيئة,تعاني أنفاق المترو والسيارات المغلقة من تراكم غازات العادم الضارة والجسيمات الدقيقة دون نظام تحكم ديناميكي يربط التهوية بالكثافة. منظومة مستشعرات تقيس جودة الهواء وتتحكم بآليات المروحة والفلترة ذاتياً حسب الحاجة الحية.,إدارات تشغيل المترو ووزارات النقل والبلديات
659,صوت الكهف,السياحة والمغامرات,يواجه هواة سياحة الكهوف والمغارات خطورة الضياع أو الجهل بالتفاصيل الجيولوجية والتاريخية للمعلم لغياب المرشدين الميدانيين. يقدم التطبيق دليلاً صوتياً جيو-مكانياً يعمل بدون إنترنت يوجه السائح بناءً على موقعه الدقيق بالداخل.,"سياح المغامرات، الهايكنج، وهيئة السياحة"
660,منصة جمعيتنا,التقنية المالية,"تفتقر ""الجمعيات المالية الشهرية التقليدية"" بين الأقارب لأدوات تضمن التزام الأعضاء بالسداد وتوثق الحقوق قانونياً لتفادي النزاعات. توفر المنصة إدارة رقمية للجمعية مع ربط بنكي مباشر يخصم المبالغ ويحولها للمستحق شهرياً بأمان.","الأفراد، الموظفون، والعوائل"
661,عين المانجو,الزراعة الذكية وفرز الأغذية,يستغرق فرز وتصنيف جودة محصول المانجو (حسب النضج والحجم والعيوب) يدوياً وقتاً طويلاً في مزارع جازان مما يسبب تلف بعضها. يعتمد المشروع على رؤية الحاسوب لفرز وتصنيف المانجو آلياً على خطوط الإنتاج وسرعة التعبئة.,مزارعو المانجو ومصانع التعبئة والتغليف
662,راصد الملوحة,سلامة المنشآت والإنشاءات,تتعرض الخرسانة وحديد التسليح في المباني والجسور الساحلية للتآكل السريع بسبب الرطوبة والملوحة دون رصد داخلي مبكر. مستشعرات كهرومغناطيسية تزرع داخل الخرسانة تقيس درجة نفاذ الأملاح وتتنبأ بعمر الهيكل الإنشائي.,"شركات المقاولات، أمانات المدن الساحلية، والملاك"
663,مسعف الغد,التقنيات التعليمية,يفتقر طلاب المدارس لبيئات تطبيقية تفاعلية لتعلم مهارات الإسعاف الأولية (كالإنعاش القلبي الرئوي) لخطورة التطبيق العملي الخاطئ. يوفر التطبيق محاكاة بالواقع المعزز (AR) تقيم دقة حركات الطالب وتصححها فورياً.,المدارس والطلاب ومؤسسات التدريب الصحي
664,حامي الطرق,حماية البيئة والنقل,تتسبب الكثبان الرملية وزحف الرمال على الطرق السريعة بين المدن في حوادث مرورية مميتة لغياب الإنذار الاستباقي قبل وصول الفرق. يحلل النظام صور الأقمار الصناعية والتعلم الآلي للتنبؤ بحركة الرمال وتنبيه الصيانة.,"وزارة النقل، أمن الطرق، والبلديات"
665,توظيف حيادي,الموارد البشرية,تقع بعض الشركات في فخ التحيز غير الواعي أثناء فرز السير الذاتية والمقابلات الأولية للمتقدمين بناءً على الجنس أو الخلفية. أداة تعتمد على الذكاء الاصطناعي تخفي البيانات الشخصية وتحلل مهارات وإجابات المتقدم بتجرد كامل.,إدارات الموارد البشرية والشركات الكبرى
666,مقاسي الرقمي,التجارة الإلكترونية,تعاني متاجر الأحذية الإلكترونية من ارتفاع نسب مرتجعات المنتجات بسبب عدم مطابقة المقاسات الفعلية لقصات العلامات التجارية المختلفة. يتيح التطبيق مسحاً ثلاثي الأبعاد للقدم بكاميرا الجوال لتحديد المقاس الأمثل لكل موديل بدقة.,المتسوقون عبر الإنترنت ومتاجر الأحذية
667,حركتنا الشعبية,الثقافة والفنون,يواجه المهتمون بالتراث صعوبة في توثيق الحركات الدقيقة للرقصات الفلكلورية السعودية (كالعرضة والسامري) لحمايتها من الاندثار. يستخدم المشروع تقنية التقاط الحركة (Motion Capture) لأرشفة الرقصات وتجسيدها رقمياً.,"وزارة الثقافة، الباحثون، ومطورو الألعاب"
668,تنبؤ المطبخ,قطاع المطاعم والضيافة,"تعاني مطاعم الوجبات السريعة من هدر كميات ضخمة من الأطعمة والمواد الخام المحضرة مسبقاً لعدم دقة التنبؤ بالطلب اليومي وساعات الذروة. خوارزمية ذكية تحلل الطقس، الإجازات، والتريندات لتحديد كمية التحضير الأمثل بدقة.",أصحاب المطاعم ومدراء التشغيل
669,درون طبي,اللوجستيات الطبية,تستغرق عملية نقل عينات الدم والأنسجة المستعجلة بين المستشفيات والمختبرات المركزية وقتاً طويلاً وسط الازدحام المروري مما يهدد حياة المرضى. طائرات درونز ذاتية القيادة مخصصة مبرمجة بمسارات جوية لنقل العينات بأمان وسرعة.,"المستشفيات، بنوك الدم، والمختبرات الطبية"
670,رادار العوائد,التقنية العقارية,"يواجه المستثمرون العقاريون حيرة في اختيار وتثمين العقارات السكنية الأنسب لتحويلها لوحدات تأجير يومي (كـ جاذر إن) لغياب تحليل العوائد الموسمية. محرك يحلل بيانات الإشغال، الأسعار، والمواسم السياحية لتقدير الربح.","المستثمرون، المطورون العقاريون، والملاك"
671,بصيرة العين,دعم ذوي الإعاقة,يواجه المصابون بالشلل الرباعي التام صعوبة في الحركة المستقلة لعدم قدرتهم على التحكم بالكراسي المتحركة التقليدية يدوياً. كرسي متحرك ذكي يعتمد على تتبع حركة بؤبؤ العين والموجات الدماغية البسيطة لتوجيه الحركة والسرعة.,"المصابون بالشلل التام، مراكز التأهيل والمستشفيات"
672,نبض التبريد,إدارة المرافق,تعاني الأبراج التجارية من التوقف المفاجئ لأنظمة التكييف المركزي (Chillers) مما يعطل الأعمال ويتطلب صيانة مكلفة وطويلة. نظام يحلل تدفق وضغط سائل التبريد عبر مستشعرات مدمجة للتنبؤ بالأعطال قبل حدوثها بأسابيع.,شركات الصيانة وإدارات تشغيل الأبراج
673,راصد السقوط,رعاية كبار السن,"يخشى كبار السن من السقوط المفاجئ بالمنزل عند تواجدهم بمفردهم، مع رفضهم لتركيب كاميرات مراقبة تنتهك خصوصيتهم بال غرف. نظام يعتمد على تكنولوجيا استشعار الواي فاي (WiFi Sensing) لرصد السقوط برمجياً بدون تصوير.","كبار السن، العوائل، ومراكز الرعاية"
674,حذوة ذكية,الثروة الحيوانية والرياضة,يتعرض الخيل العربي الأصيل لإصابات خفية في الحوافر أو المفاصل يصعب رصدها مبكراً وتؤدي لاستبعاده من السباقات. يقدم المشروع حذوة خيل ذكية مزودة بمستشعرات ضغط واتزان تحلل نمط جري الخيل واكتشاف العرج الأولي.,"ملاك الخيل، الإسطبلات، والأطباء البيطريون"
675,ملصق الطزاجة,سلامة الأغذية,"يعتمد المستهلكون على تاريخ الصلاحية المكتوب على عبوات الحليب، رغم إمكانية تلفه قبل التاريخ بسبب سوء التبريد في المتجر. ملصقات كيميائية ذكية تلصق بالعلبة يتغير لونها تدريجياً بناءً على نمو البكتيريا الفعلي بالداخل.","مصانع الألبان، متاجر التجزئة، والمستهلكون"
676,تصوير الغاز,الأمن الصناعي والطاقة,تشكل تسريبات الغازات غير المرئية والسامة (مثل H2S) في الحقول والمصانع خطورة بالغة على حياة العمال وتستغرق الكواشف التقليدية وقتاً لرصدها. كاميرات حرارية طيفية تحلل سحب الغاز فوراً وترسل إنذاراً مرئياً وموقعياً.,شركات النفط والغاز والمصانع البتروكيماوية
677,محاكي المدار,الفضاء والطيران,يواجه مطورو الأقمار الصناعية الصغيرة (CubeSats) مخاطر الفشل لعدم قدرتهم الاقتصادية على محاكاة الإجهاد الحراري المداري المعقد بدقة. منصة برمجية تحلل الخصائص الهندسية وتتنبأ بسلوك الهيكل تحت ظروف الفضاء القاسية.,"الباحثون، المهندسون، ومراكز أبحاث الفضاء"
678,مسار الشاحنات,النقل المستدام,تسير آلاف شاحنات النقل الثقيل فارغة في رحلات العودة بعد تفريغ شحناتها مما يسبب هدراً للوقود وازدحاماً بلا عائد اقتصادي. تطبيق يربط الشركات التي تحتاج لنقل بضائع عاجلة بالشاحنات الفارغة المتواجدة في نفس طريق العودة.,شركات النقل اللوجستي والمصانع والموردون
679,مؤشر الأمان,حماية المستهلك والتجارة,"يقع المستهلكون ضحية للاحتيال عند الشراء من متاجر إلكترونية ناشئة أو حسابات مبيعات غير موثقة في شبكات التواصل. أداة فحص ذكية تكشط البيانات وتحلل سجل التراخيص، الشكاوى، وموثوقية الدفع لمنح المتجر تقييماً أمنياً.",المستهلكون والمتسوقون عبر الإنترنت
680,امتثال العمل,التقنية القانونية وإدارة الشركات,تواجه الشركات صعوبة وتكلفة في مراجعة وتحديث لوائح العمل والجزاءات الداخلية لتتوافق تماماً مع التعديلات المستمرة لنظام العمل السعودي. نظام ذكي يطابق نصوص اللوائح الداخلية بالأنظمة الرسمية ويبرز الثغرات تلقائياً.,إدارات الالتزام والموارد البشرية بالشركات
681,مفتش المنجم,قطاع التعدين,يستغرق إرسال عينات الصخور المستخرجة من المناجم للمختبرات المركزية لمعرفة نسبة تركيز المعادن الثمينة (كالذهب) أياماً تعطّل خطط الحفر. جهاز محمول يعتمد على فحص الأشعة السينية (XRF) يحلل النسبة فورياً في الميدان.,"شركات التنقيب، الجيولوجيون، ومصانع التعدين"
682,راصد التزييف,الإعلام الرقمي والتقنية,ينتشر التضليل الإعلامي بسبب صعوبة التفريق الفوري بين المقالات المكتوبة بأيدي بشرية وتلك المولدة آلياً بالذكاء الاصطناعي التوليدي باللغة العربية. خوارزمية لغوية تفحص التراكيب والنماذج لكشف وفلترة النصوص المولدة آلياً.,"الصحف الرقمية، المؤسسات الإعلامية، والباحثون"
683,توازن المزرعة,الزراعة المائية (الأكوا بونيكس),تواجه مزارع الأكوا بونيكس (دمج تربية الأسماك بالنبات) خطر موت المحصول أو الأسماك عند اختلال التوازن بين فضلات الأسماك ومغذيات النبات. نظام أتمتة يحلل المركبات النيتروجينية ويتحكم بضخ المياه والمغذيات ذاتياً.,مستثمرو الزراعة الحديثة والأمن الغذائي
684,حافظة الأعضاء,اللوجستيات الطبية الحساسة,تتأثر سلامة الأعضاء البشرية المنقولة لزراعتها للمرضى بأي تذبذب في حرارة أو رطوبة الحافظة دون علم الطاقم الطبي المستبيل بلحظته. حافظة ذكية متبعة بالأقمار الصناعية تبث المؤشرات الحيوية للعضو وظروف التخزين فوراً.,"المستشفيات، المراكز الطبية، وبنوك الأعضاء"
685,أمان الغواص,السياحة البحرية,يواجه الغواصون في البحر الأحمر مخاطر التيارات البحرية المفاجئة أو تجاوز الأعماق الآمنة دون وسيلة اتصال فورية مع قارب الدعم. سوار غوص ذكي يقيس المؤشرات الحيوية والعمق ويبث تحذيرات جيو-مكانية عبر الأمواج الصوتية تحت الماء.,"مراكز الغوص السياحية، الهواة، وفرق الإنقاذ"
686,منصة مجلسنا,حوكمة الشركات,تخشى مجالس إدارات الشركات المساهمة من تسريب محاضر الاجتماعات السرية أو التلاعب بنتائج التصويت على القرارات الاستراتيجية يدوياً. منصة مشفرة بالكامل تعتمد على البلوكشين لإدارة الاجتماعات وتوثيق التصويت بهوية رقمية.,"الشركات المساهمة، البنوك، ومجالس الإدارة"
687,بصمة الوجه,النقل العام والمدن الذكية,يستغرق شراء التذاكر أو مسح البطاقات الرقمية عند بوابات المترو والحافلات وقتاً يسبب طوابير انتظار في أوقات الذروة. نظام دفع لا تلامسي يعتمد على التعرف البيومتري على الوجه (Face Pay) يفتح البوابات ويخصم الرصيد آلياً في ثوانٍ.,ركاب النقل العام وإدارات المترو والحافلات
688,سقيا المسجد,الاستدامة المائية والبيئة,تستهلك المساجد كميات ضخمة من مياه الوضوء التي تذهب للصرف الصحي مباشرة دون استغلالها في ري المساحات الخضراء أو صناديق الطرد. نظام ذكي يفلتر المياه الرمادية داخل الموقع ويراقب نقاءها الكيميائي لإعادة استخدامها آلياً.,وزارة الشؤون الإسلامية والبلديات والاستدامة
689,ترجمان النقوش,الثقافة والتراث,يجد سياح المواقع الأثرية (مثل العلا وحائل) صعوبة في فهم المعاني التاريخية خلف النقوش الثمودية واللحيانية القديمة على الصخور. تطبيق يحلل صورة النقش بالذكاء الاصطناعي وبصرياً ليترجمه فوراً إلى العربية والإنجليزية مع سرد قصته.,السياح والزوار وهيئات تطوير التراث والثقافة
690,ميزان الحصاد,التجارة والتموين الزراعي,يتعرض المزارعون لخسائر مالية بسبب حصد وبيع محاصيلهم في أوقات تتدنى فيها الأسعار بأسواق الجملة لزيادة المعروض فجأة. محرك بيانات يتنبأ بأسعار الخضار والفواكه الموسمية بناءً على حجم المساحات المزروعة والطقس.,"المزارعون، تجار الجملة، ووزارة الزراعة"
691,فصيلة النادرة,الخدمات الإنسانية والصحية,يواجه أهالي المرضى صعوبة بالغة وضيق وقت في البحث عن متبرعين بالدم للفصائل النادرة جداً (مثل الفصيلة الكولومبية أو سالب النادر) بالطرق التقليدية. تطبيق يربط المتبرعين المسجلين بالمرضى لحظياً بناءً على الموقع الجغرافي.,"المستشفيات، بنوك الدم، والمرضى ومحتاجو التبرع"
692,راصد الأموال,التقنية المالية والأمن,تستغرق مراجعة الحسابات البنكية لكشف شبكات غسيل الأموال المعقدة وقتاً طويلاً لمرور الأموال عبر حسابات متعددة مموهة يدوياً. نظام يعتمد على الشبكات العصبية الرسومية (GNN) لتحليل روابط التدفقات المالية واكتشاف الحسابات المشبوهة.,"البنوك، المنشآت المالية، والجهات الرقابية"
693,نبض الرضيع,رعاية الطفولة والصحة,"تواجه الأمهات الجدد صعوبة في فهم أسباب بكاء الأطفال الرضع المستمر (جوع، مغص، نعاس، رغبة في النوم) مما يسبب لهن القلق. تطبيق يحلل الترددات الصوتية لبكاء الطفل بالذكاء الاصطناعي لتحديد السبب بدقة ومقترحات للتعامل.","الأمهات، الآباء الجدد، وأطباء الأطفال"
694,خوذة المهندس,قطاع الإنشاءات والمقاولات,يواجه المهندسون المشرفون صعوبة في مطابقة المخططات الهندسية ثلاثية الأبعاد المعقدة بالبناء الفعلي القائم في الموقع ميدانياً. خوذة بناء ذكية مزودة بواجهة عرض شفافة (HUD) تسقط مخطط الـ BIM على المبنى مباشرة لرصد الانحرافات.,"المهندسون المشرفون، شركات المقاولات، والاستشارات"
695,درع الجوال,الأمن السيبراني,تتعرض الهواتف الذكية لرواد الأعمال والمسؤولين لخطر برمجيات التجسس المتطورة والناعمة التي لا تكتشفها مضادات الفيروسات التقليدية. نظام سحابي يحلل الشذوذ في استهلاك البطارية وتدفق البيانات الخلفي المفاجئ للحجب الفوري.,"رواد الأعمال، مسؤولو الشركات، والمهتمون بالأمن"
696,فحص الدواجن,سلامة الأغذية والصحة,تشكل متبقيات المضادات الحيوية في لحوم الدواجن والماشية بالمسالخ خطورة صحية على المستهلك وتستغرق الفحوصات المخبرية التقليدية أياماً. جهاز فحص سريع يعتمد على التحليل الطيفي الفلوري للكشف عن النسبة في دقائق.,"المسالخ المركزية، شركات الدواجن، ومفتشو الصحة"
697,طاقة الرياح,الطاقة المتجددة والشبكات,تعاني محطات توليد طاقة الرياح من تذبذب كميات الطاقة المنتج وتحدي التوقيت المثالي لتخزينها أو ضخها في الشبكة العامة لرفع العائد. نظام ذكي يتنبأ بسرعات الرياح وحجم الاستهلاك المدني لتوجيه التخزين والضخ آلياً.,مشغلو محطات الطاقة المتجددة والشبكة الكهربائية
698,وجبة الخير,المسؤولية الاجتماعية,تفتقر منصات التوصيل لآليات تتيح للعملاء التبرع بوجبات طعام مدفوعة مسبقاً وتوجيهها بكرامة وسرية للأسر العفيفة المحتاجة في نفس الحي. نظام برمجيا يدمج خيار التبرع في تطبيقات المطاعم ويوجه الوجبات بالتنسيق مع الجمعيات.,"مستخدمو تطبيقات الطعام، المطاعم، والجمعيات الأهلية"
699,متصفح مرن,التعليم الشامل والدمج الرقمي,"يواجه ذوو الصعوبات الإدراكية والتشتت (ADHD) صعوبة في استيعاب المواقع الإلكترونية والتعليمية المزدحمة بالحشو والإعلانات المتحركة. إضافة متصفح ذكية تحول محتوى الموقع تلقائياً لنسخة مبسطة، هادئة، وبخطوط مخصصة للتركيز.","الأفراد ذوو الصعوبات الإدراكية، الطلاب، والمؤسسات"
700,سلامة الإطار,الخدمات اللوجستية وأمن الطرق,تتسبب انفجارات إطارات شاحنات النقل الثقيل المفاجئة على الطرق السريعة في حوادث كارثية وتلف شحنات الشركات. نظام مستشعرات ذكي يركب داخل الإطار يقيس بدقة الحرارة والضغط الداخلي ويتنبأ بالانفجار قبل حدوثه لإخطار السائق.,سائقو الشاحنات الثقيلة وشركات النقل اللوجستي
701,مرشد المرجان,البيئة البحرية والسياحة,تواجه المحميات البحرية صعوبة في مراقبة ظاهرة ابيضاض الشعاب المرجانية وتأثرها بتغير حرارة المياه بشرياً على مساحات شاسعة. يستخدم المشروع غواصات ذاتية القيادة مبرمجة برؤية حاسوبية لمسح الشعاب وتصنيف صحتها تلقائياً.,"الهيئات البيئية، ومراكز الأبحاث البحرية"
